URL,Title,Author,Genres
https://www.goodreads.com/book/show/32812740,অগ্রন্থিত কিশোর রচনা,Narayan Gangopadhyay,N/A
https://www.goodreads.com/book/show/157168328-agnigarbha,Agnigarbha,Mahasweta Devi,N/A
https://www.goodreads.com/book/show/26858652,নিবিড় নীলিমা,Humayun Azad,N/A
https://www.goodreads.com/book/show/27154169,রক্ষা করো হে ভৈরব,Nirmalendu Goon,N/A
https://www.goodreads.com/book/show/37671245,ঘাটের কথা,Rabindranath Tagore,"Classics, Short Stories"
https://www.goodreads.com/book/show/169966269-je-deshe-manush-boro,Je Deshe Manush Boro,Jasimuddin,N/A
https://www.goodreads.com/book/show/29807347,কালকেতু ও ফুল্লরা,Selina Hossain,N/A
https://www.goodreads.com/book/show/19546791,ফেরারি,Moti Nandi,N/A
https://www.goodreads.com/book/show/89787993-jevabe-bere-uthi,Jevabe Bere Uthi,Al Mahmud,N/A
https://www.goodreads.com/book/show/17800285,তানিয়া,P. Lidov,N/A
https://www.goodreads.com/book/show/34057351,বক্তৃতা সংগ্রহ,Abdullah Abu Sayeed,N/A
https://www.goodreads.com/book/show/20360211,তুমি আমায় ডেকেছিলে ছুটির নিমন্ত্রণে,Humayun Ahmed,"Fiction, Novels, Romance"
https://www.goodreads.com/book/show/34752664,দাসজীবনের তালাশে ইয়ুসুফ,Debesh Roy,N/A
https://www.goodreads.com/book/show/31206491,রাহনামা ২,Shawkat Osman,N/A
https://www.goodreads.com/book/show/52545107,তব করুণ আঁখি,Shirshendu Mukhopadhyay,N/A
https://www.goodreads.com/book/show/15741452,নিমিত্তমাত্র,Ashapurna Devi,N/A
https://www.goodreads.com/book/show/17455415,আগস্টের একরাত,Selina Hossain,N/A
https://www.goodreads.com/book/show/98955521-rabindra-rachanavali-vol-13,Rabindra Rachanavali Vol 13,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/37514189,දෙපා ලදිමි,Moti Nandi,N/A
https://www.goodreads.com/book/show/34305352,পৃথিবীর শেষ কমিউনিস্ট,Nabarun Bhattacharya,N/A
https://www.goodreads.com/book/show/98917152-upanyas-samagra-vol-v,Upanyas Samagra Vol. V,Ramapada Chowdhury,N/A
https://www.goodreads.com/book/show/18211281,কুঞ্জপুকুরের কাণ্ড,Shirshendu Mukhopadhyay,"Fantasy, Adventure, Childrens"
https://www.goodreads.com/book/show/59793255,শূন্য শুধু শূন্য নয়,Sharadindu Bandyopadhyay,N/A
https://www.goodreads.com/book/show/50738293,কিশোর সমগ্র,Narayan Sanyal,N/A
https://www.goodreads.com/book/show/28226935,কবিতা সমগ্র ৫,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/211980684-the-bucket-list-collection,"The Bucket List Collection: Masterpieces You Should Read Before You Die: Leaves of Grass, Siddhartha, Dubliners, Les Misérables, Don Quixote, Art of War, Middlemarch, Swann's Way…",Johann Wolfgang von Goethe,N/A
https://www.goodreads.com/book/show/40131035,শ্রেষ্ঠ রোমান্টিক উপন্যাস,Humayun Ahmed,N/A
https://www.goodreads.com/book/show/131110157-1504-alokik-nay-lokik-1900-leather-bound,1504 Alokik Nay Lokik 1900 [Leather Bound],Prabir Ghosh,N/A
https://www.goodreads.com/book/show/23526956--,এলেবেলে - দ্বিতীয় পর্ব,Humayun Ahmed,"Humor, Comedy, Nonfiction"
https://www.goodreads.com/book/show/98908247-chansons-de-kabir-traduit,Chansons de Kabir (traduit),Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/28161359,শেষ সওগত,Kazi Nazrul Islam,N/A
https://www.goodreads.com/book/show/21409635,रवीन्द्रनाथ टैगोर की श्रेष्ट कहानियाँ,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/35972197,আত্মস্মৃতি এবং কয়েকটি কবিতা,Pablo Neruda,N/A
https://www.goodreads.com/book/show/130652098-gora,Gora,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/22583616,বিচিত্র প্রবন্ধ,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/35155009--,ড্রেস-রিহার্সালের কাঁটা,Narayan Sanyal,N/A
https://www.goodreads.com/book/show/26225549,বৃষ্টির ঘ্রাণ,Shirshendu Mukhopadhyay,"Contemporary, Fiction, Drama"
https://www.goodreads.com/book/show/18000117-the-best-of-tagore,The Best of Tagore,Rabindranath Tagore,"Fiction, Classics"
https://www.goodreads.com/book/show/17240398,शरत्चन्द्र की श्रेष्ठ कहानियां,Sarat Chandra Chattopadhyay,N/A
https://www.goodreads.com/book/show/98955420-swarabitan-15,Swarabitan 15,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/54464133,বড়দের হাসিখুসি,Shibram Chakraborty,N/A
https://www.goodreads.com/book/show/23295048,উপেন্দ্রকিশোর রায়চৌধুরী,Leela Majumdar,N/A
https://www.goodreads.com/book/show/20622441,গল্পসমগ্র ৩,Shirshendu Mukhopadhyay,N/A
https://www.goodreads.com/book/show/54140073,আকাশের সীমা নাই,Gajendrakumar Mitra,N/A
https://www.goodreads.com/book/show/23533181,হরিচরণ,Sarat Chandra Chattopadhyay,N/A
https://www.goodreads.com/book/show/24940098,নিরুদ্দেশের দেশে,নীললোহিত,N/A
https://www.goodreads.com/book/show/51806590,প্রেসক্রিপশন,Humayun Ahmed,N/A
https://www.goodreads.com/book/show/37647051,সত্যপীরের কলমে,Syed Mujtaba Ali,N/A
https://www.goodreads.com/book/show/54871269,বন্দী শিবির থেকে,Shamsur Rahman,N/A
https://www.goodreads.com/book/show/21461410,প্রতিশোধের একদিক,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/43722486,নির্বাচিত গল্প,Premendra Mitra,N/A
https://www.goodreads.com/book/show/49830328,শেষ পুরষ্কার,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/211972997-of-blood-and-fire,Of Blood And Fire : The Untold Story Of Bangladesh War Of Independence,Jahanara Imam,N/A
https://www.goodreads.com/book/show/34130268,কিশোর আনন্দ ১২,Abdullah Abu Sayeed,N/A
https://www.goodreads.com/book/show/18460461,পূর্ব পুরুষ,Gajendrakumar Mitra,N/A
https://www.goodreads.com/book/show/35839672,উপন্যাস সমগ্র ১২,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/3259002,তিথির নীল তোয়ালে,Humayun Ahmed,"Romance, Fiction, Drama"
https://www.goodreads.com/book/show/39349570,রাত্রী ভয়ঙ্কর,Romena Afaz,N/A
https://www.goodreads.com/book/show/43360503,নির্বাচিত সেরা গল্প,Abdullah Abu Sayeed,N/A
https://www.goodreads.com/book/show/141040757-tarapada-roy-galpa-samagra-set-of-3-volumes,Tarapada Roy Galpa Samagra Set Of 3 Volumes,Tarapada Roy,N/A
https://www.goodreads.com/book/show/100904095-kreative-einheit-bersetzt,Kreative Einheit (übersetzt),Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/34878373,উপন্যাস সমগ্র ১৩,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/162005186-sreshtrho-kobita,Sreshtrho Kobita,Syed Shamsul Haque,N/A
https://www.goodreads.com/book/show/27419367,সভ্যতার সংকট,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/42737630,প্রেম,Atin Bandyopadhyay,N/A
https://www.goodreads.com/book/show/36058338,ছোটদের কথা রচনার কথা,Shawkat Osman,N/A
https://www.goodreads.com/book/show/18213447--,মা-মেয়ের সংসার,Hasan Azizul Huq,N/A
https://www.goodreads.com/book/show/38615401,পার্লামেন্ট স্ট্রীট,Nimai Bhattacharya,N/A
https://www.goodreads.com/book/show/23155010,কিশোর সমগ্র,Humayun Ahmed,N/A
https://www.goodreads.com/book/show/25503988-3-b-jayaram-mitra-lane,3 B Jayaram Mitra Lane,Moti Nandi,N/A
https://www.goodreads.com/book/show/152275159-las-monedas-de-oro-de-yahangir,Las monedas de oro de Yahangir,Satyajit Ray,N/A
https://www.goodreads.com/book/show/33633823,দেবতার সাজা,Sukumar Ray,N/A
https://www.goodreads.com/book/show/203460909-fruit-gathering-rabindranath-tagore-rabindranath-tagore,Fruit-Gathering Rabindranath Tagore Rabindranath Tagore,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/40998646,হে প্রবাসী,Sunil Gangopadhyay,N/A
https://www.goodreads.com/book/show/61168784,অগ্রন্থিত পদ্যগদ্য,Shakti Chattopadhyay,N/A
https://www.goodreads.com/book/show/109074915-kabir-korketha,Kabir Korketha,Al Mahmud,N/A
https://www.goodreads.com/book/show/59952026-biswabodh,Biswabodh,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/15832936,মিসির আলির চশমা,Humayun Ahmed,"Fiction, Mystery, Thriller"
https://www.goodreads.com/book/show/20560984,রাজা যায় বনবাসে,Atin Bandyopadhyay,N/A
https://www.goodreads.com/book/show/33285083,রোদনরূপসী,Abdullah Abu Sayeed,N/A
https://www.goodreads.com/book/show/134994352-the-rain-has-held-back-for-days-and-days-my-god-in-my-arid-heart-so,"The Rain Has Held Back For Days and Days, My God, in My Arid Heart...[Song Offering 40]",Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/22842351,শূন্যের উদ্যান,Shirshendu Mukhopadhyay,N/A
https://www.goodreads.com/book/show/32149085,হৃদয়ের মুখ,Samaresh Basu,N/A
https://www.goodreads.com/book/show/59129533,কিশোরকথা,Shankha Ghosh,N/A
https://www.goodreads.com/book/show/141456974-rochona-somogro-6--,Rochona Somogro-6 | রচনা সমগ্র-৬,Abdullah Abu Sayeed,N/A
https://www.goodreads.com/book/show/20459221-the-nectar-of-life,The Nectar of Life: Quotations from the Prose Writings,Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/38714708,অমানুষ,Shaktipada Rajguru,N/A
https://www.goodreads.com/book/show/17976081,স্টপার,Moti Nandi,"Sports, Fiction, Classics"
https://www.goodreads.com/book/show/46268059-best-short-stories-of-sharatchandra,Best Short Stories of Sharatchandra,Sarat Chandra Chattopadhyay,N/A
https://www.goodreads.com/book/show/30732189,অতসীমামী,Manik Bandopadhyay,"Short Stories, Fiction, Classics"
https://www.goodreads.com/book/show/33864772-hawabadal-o-anyanya-rachana,Hawabadal O Anyanya Rachana,Abanindranath Tagore,N/A
https://www.goodreads.com/book/show/17736358,পারাপার,Shirshendu Mukhopadhyay,"Fiction, Contemporary, Drama"
https://www.goodreads.com/book/show/29866746,শ্বেত কপোত,Nihar Ranjan Gupta,N/A
https://www.goodreads.com/book/show/167711120-bidyasagar-charit-1909-leather-bound,Bidyasagar Charit 1909 [Leather Bound],Rabindranath Tagore,N/A
https://www.goodreads.com/book/show/38599972,নিউ মার্কেট,Nimai Bhattacharya,N/A
